Word,Count
dear,7
mr,7
must,6
see,5
visit,5
know,4
bingley,4
girls,4
go,4
twenty,4
four,3
much,3
single,3
bennet,3
one,3
may,3
beauty,3
woman,3
daughters,3
lizzy,3
young,2
man,2
large,2
fortune,2
take,2
married,2
sure,2
five,2
thousand,2
year,2
thing,2
replied,2
wife,2
thinking,2
marrying,2
design,2
comes,2
send,2
better,2
handsome,2
like,2
think,2
indeed,2
neighbourhood,2
assure,2
us,2
good,2
little,2
half,2
nerves,2
years,2
get,2
come,2
invitation,1
enough,1
mrs,1
long,1
says,1
netherfield,1
taken,1
north,1
england,1
came,1
monday,1
chaise,1
place,1
delighted,1
agreed,1
morris,1
immediately,1
possession,1
michaelmas,1
servants,1
house,1
end,1
next,1
week,1
name,1
oh,1
fine,1
affect,1
tiresome,1
settling,1
nonsense,1
talk,1
likely,1
fall,1
love,1
therefore,1
soon,1
occasion,1
perhaps,1
still,1
might,1
best,1
party,1
flatter,1
certainly,1
share,1
pretend,1
anything,1
extraordinary,1
grown,1
ought,1
give,1
cases,1
often,1
engage,1
consider,1
establishment,1
would,1
sir,1
william,1
lady,1
lucas,1
determined,1
merely,1
account,1
general,1
new,1
comers,1
impossible,1
scrupulous,1
surely,1
dare,1
say,1
glad,1
lines,1
hearty,1
consent,1
whichever,1
chooses,1
though,1
throw,1
word,1
desire,1
bit,1
others,1
jane,1
humoured,1
lydia,1
always,1
giving,1
preference,1
none,1
recommend,1
silly,1
ignorant,1
something,1
quickness,1
sisters,1
abuse,1
children,1
way,1
delight,1
vexing,1
compassion,1
poor,1
mistake,1
high,1
respect,1
old,1
friends,1
heard,1
mention,1
consideration,1
least,1
ah,1
suffer,1
hope,1
live,1
many,1
men,1
use,1
since,1
depend,1
upon,1
odd,1
mixture,1
quick,1
parts,1
sarcastic,1
humour,1
reserve,1
caprice,1
experience,1
three,1
insufficient,1
make,1
understand,1
character,1
mind,1
less,1
difficult,1
develope,1
mean,1
understanding,1
information,1
uncertain,1
temper,1
discontented,1
fancied,1
nervous,1
business,1
life,1
solace,1
visiting,1
news,1
